Name,Description,Indian
Samudragupta,A famous Gupta king,Indian
Samudrasen,Lord of the ocean,Indian
Samvath,Prosperous,Indian
Samyak,Enough,Indian
Sanabhi,Related,Indian
Sanam,Beloved,Indian
Sanatan,Eternal,Indian
Sandananda,Eternal bliss,Indian
Sandeepan,A sage,Indian
Sandy,Please advise us the meaning of this name.,Indian
Sangupt,Percectly hidden,Indian
Sanjan,Creator,Indian
Sanjay Kumar,Parnav thakur,Indian
Sanjeev,Please advise us the meaning of this name.,Indian
Sanjith,Perfectly victorious,Indian
Sanjiv,Love; life,Indian
Sanjivan,Immortality,Indian
Sankara,Shiva,Indian
Sankarshan,"A name of Balaram, brother of Lord Krishna",Indian
Sanobar,Palm tree,Indian
Sanrup Satyam,This is your sweet name,Indian
Sanwan,Please advise us the meaning of this name.,Indian
Sanwariya,Lord Krishna,Indian
Sanyarika,Please advise us the meaning of this name.,Indian
Sanyog,Coincidence,Indian
Sapendra Kumar Nag,Boys name meaning thank,Indian
Saqueeb,One who is Bright,Indian
Saquib,Bright,Indian
Sara,Please suggest a new business firm name,Indian
Sarasija,Lotus,Indian
Sarat,A sage,Indian
Saravanan,Lord Murugan,Indian
Sarfaraz,Head held high,Indian
Sartaj,Crown,Indian
Sarup,Beautiful,Indian
Sarvadaman,Son of Shakuntala-Bharat,Indian
Sarvanavel,Another name for Lord Murugan,Indian
Sarvesh,Lord of all,Indian
Sarwar,Promotion,Indian
Sashreek,Prosperous,Indian
Satendar,Please advise us the meaning of this name.,Indian
Satindra,Lord Vishnu,Indian
Satrijit,"Father of Satyabhama, wife of Lord Krishna",Indian
Satvamohan,Truthful,Indian
Satvik,Please advise us the meaning of this name.,Indian
Satyakam,Son of Jabala in the Mahabharata,Indian
Satyaki,Charioteer of Krishna,Indian
Satyamurty,Statue of truth,Indian
Satyankar,True; good,Indian
Satyaprakash,Light of truth,Indian
Satyapriya,Devoted to truth,Indian
Satyarth,Satyarth,Indian
Satyasheel,Truthful,Indian
Saurabh,Fragrance,Indian
Saurav,"Divine, celestial",Indian
Savanth,Employer,Indian
Savar,Lord Shiva,Indian
Savitendra,The sun,Indian
Sawan,A Hindu month,Indian
Sayam,Evening,Indian
Sayan,Please advise us the meaning of this name.,Indian
Sayed,Leader,Indian
Sayush,Please advise us the meaning of this name.,Indian
Seemanta,Parting line of hair,Indian
Sehzada,Please advise us the meaning of this name.,Indian
Selvakumaran,Prosperous,Indian
Selvan,Prosperous,Indian
Senajit,Victory over army,Indian
Sendhil,Lord Murugan,Indian
SendhilNathan,Lord Murugan,Indian
Sengannan,Visionary,Indian
Senmal,The best,Indian
Senthamarai,Red Lotus,Indian
Sevak,Servant,Indian
Shaban,Faiz shabana,Indian
Shachin,Lord Indra,Indian
Shadab,Fresh,Indian
Shafiq khan,Rahem karne wala,Indian
Shahbaz,Please advise us the meaning of this name!,Indian
Shaheen,Tender,Indian
Shahroz,Please advise us the meaning of this name.,Indian
Shailender,"In Sanskrit, this name is combined from word 'Saila' which means mountain and 'Indra', which means 'King or God'. So, the full meaning is Kind or God of Mountains.",Indian
Shaistakhan,Polite,Indian
Shakib,Patience,Indian
Shaktidhar,Lord Shiva,Indian
Shakunt,Blue jay,Indian
Shakyasinha,Lord Buddha,Indian
Shameek,An ancient sage,Indian
Shami,Fire,Indian
Shams,Fragrance,Indian
Shamshu,Shamshad beautiful,Indian
Shandar,Proud,Indian
Shankha,Conch,Indian
Shanmukha,"Shanmuga Kartikeya, first son of Lord Shiva",Indian
Shantashil,Gentle,Indian
Shantimay,Peaceful,Indian
Shantinath,Lord of peace,Indian
Shantiprakash,Light of peace,Indian
Shantipriya,Peace-loving,Indian
Shanuj,Good for everyone.,Indian
Shanvi,Please advise us the meaning of this name.,Indian
Sharadindu,Autumn moon,Indian
Sharang,Deer,Indian
Shariq,Intelligent,Indian
Sharique,Please advise us the meaning of this name.,Indian
Sharukh khan,Sharukh khan,Indian
Shashank sharma,Shashank,Indian
Shashee,Moon,Indian
Shashibhushan,Lord Shiva,Indian
Shashidhar,The moon,Indian
Shashikant,Moon stone,Indian
Shashikant ojha,Shashikant ojha,Indian
Shashikiran,Moon's rays,Indian
Shashimohan,The moon,Indian
Shashishekhar,Lord Shiva,Indian
Shatrughna,Shatrughan victorious,Indian
Shatrunjay,One who overcomes enemies,Indian
Shattesh,King of mountains,Indian
Shaukat,Grand,Indian
Shaunak,A great sage,Indian
Shavez,Shavez,Indian
Shehzad,Please advise us the meaning of this name.,Indian
Sheil,Mountain,Indian
SHERSINGH,WE ARE GOING TO STARTING A AGRO BASED COMPANY IN AGRICULTURE SECTOR.,Indian
Shevantilal,A crysanthemum,Indian
Shiban,Please advise us the meaning of this name.,Indian
SHINU YADAV,SHINU MEANS WEAR,Indian
Shirish,A flower; raintree,Indian
Shiromani,Superb jewel,Indian
Shirshirchandra,Winter moon,Indian
Shishank,Name of my son,Indian
Shishirkumar,The moon,Indian
Shishupal,Sone of Subhadra,Indian
Shiv,"Lord Shiva, auspicious, lucky",Indian
Shivaan,Please advise us the meaning of this name.,Indian
Shivam,Please advise us the meaning of this name!,Indian
Shivans,Part of Lord Shiva.,Indian
Shivansh,Part of God Shiva.,Indian
Shiven,Holy soul,Indian
Shivendra,Lord Shiva,Indian
Shivendu,Pure moon,Indian
Shivlal,Lord Shiva,Indian
Shivraj,Lord Shiva,Indian
Shivshakti,Shivshakti auto parts,Indian
Shivshankar,Lord Shiva,Indian
Shoorsen,Brave,Indian
Shozib,Please advise us the meaning of this name.,Indian
Shrafat,Please advise us the meaning of this name.,Indian
Shraneet,Please advise us the meaning of this name.,Indian
Shrashant,Please advise us the meaning of this name.,Indian
Shravankumar,A character from the epic Ramayana,Indian
Shreedev,Please advise us the meaning of this name.,Indian
Shrenik,Organised,Indian
Shrikumar,Beautiful,Indian
Shrinath,Lord Vishnu,Indian
Shrinivas,Lord Vishnu,Indian
Shripal,Lord Vishnu,Indian
Shripati,Lord Vishnu,Indian
Shriram,Lord Rama,Indian
Shriranga,Lord Vishnu,Indian
Shrivatsa,Lord Vishnu,Indian
Shriyans,Wealth,Indian
Shubh,Word is very biggest RC............................................,Indian
Shubham sahu,Name arta,Indian
Shubhang,Handsome,Indian
Shubhankar,Auspivious,Indian
Shubhashis,Blessing,Indian
Shubhendu,Luckly moon,Indian
Shubhranshu,The moon,Indian
Shubu,Please advise us the meaning of this name.,Indian
Shuddhashil,Well-born,Indian
Shumman,Please advise us the meaning of this name.,Indian
Shvetang,Fair complexioned,Indian
Shvetank,Having a white mark,Indian
Siddharth,White mustard,Indian
Siddheshwar,A goddess,Indian
Singaravelan,Lord Murugan,Indian
Singh,Inselef name,Indian
Siraj,Lamp,Indian
Sitakanta,Lord Rama,Indian
Sitanshu,The moon,Indian
Sitikantha,Lord Shiva,Indian
Situn,Please advise us the meaning of this name!,Indian
Sivakumaran,Son of Lord Siva,Indian
Sivanta,Lord Shiva,Indian
Smarajit,One who has conquered lust,Indian
Smritiman,Unforgettable,Indian
Smyan,Smile,Indian
Snehanshn,Affectionate,Indian
Snehin,A friend,Indian
Sobbyansh,Please advise us the meaning of this name.,Indian
Sohail,Moon-glow,Indian
Soham,Iam He'-the presence of divinity of each soul,Indian
Soman,The moon,Indian
Somendra,Moon,Indian
Somesh,Please advise us the meaning of this name.,Indian
Someshwar,Lord Shiva,Indian
Somnath,Lord Shiva,Indian
Soni,Please advise us the meaning of this name.,Indian
Sonish,Sonish,Indian
Sonu,Please advise us the meaning of this name.,Indian
Sonukumar,Sonu kumar babhangama bihpur,Indian
Sopan,Steps,Indian
Sorabh,Sorabh,Indian
Soudutt,Please advise us the meaning of this name!,Indian
Soumil,A friend,Indian
Soumyakanti,Handsome,Indian
Sourav,Please advise us the meaning of this name!,Indian
Souren,Of the sun,Indian
Sourish,Lord Vishnu,Indian
Soury,Valour; fearless,Indian
Sragvibhushan,Lord Vishnu (who loves tulasi),Indian
Sreyan,Please advise us the meaning of this name!,Indian
Srikant,Lover of wealth,Indian
Srikanth,Most lovable person,Indian
Srinath,Please advise us the meaning of this name.,Indian
Srinivas,Abode of wealth,Indian
Sriram,Lord Rama,Indian
Sual,Asked for,Indian
Subash,Fragrance,Indian
Subbarao,Auspicious,Indian
Subhas nager,Shivani or manish,Indian
Subhash,Soft spoken,Indian
Subhit,Adorned; Make more beautiful or attractive; Ornament,Indian
Subinay,Humble,Indian
Subramani,Lord Murugan,Indian
Suchir,Eternal,Indian
Sudama,Meek,Indian
Sudeep,Bright,Indian
Sudesha,Good country,Indian
Sudhamay,Full of nectar,Indian
Sudhanssu,Moon,Indian
Sudhi,Scholar,Indian
Sudhir,"Resolute, brave",Indian
Sudhish,Lord of excellent intellect,Indian
Sudhith,Kind,Indian
Sugata,A name of the Buddha,Indian
Sugreev,Man with a beautiful neck,Indian
Sugriva,One with graceful neck,Indian
Suhas,Smiling beautifully,Indian
Suhrid,Well-disposed,Indian
Suhrit,Well-disposed,Indian
Sujeet,Please advise us the meaning of this name.,Indian
Sujoy,"Winner, Victorious",Indian
Sukant,Sukanta handsome,Indian
Suketu,A Yaksha king,Indian
Sukhamay,Pleasurable,Indian
Sukhdev,God of happiness,Indian
Sukhmer,Please advise us the meaning of this name.,Indian
Sulalit,Graceful,Indian
Sultan,King,Indian
Sumanta,Wise,Indian
Sumantra,Friend of King Dasarath,Indian
Sumeet,Sumit a good friend,Indian
Sunasi,Lord Indra,Indian
Sundaravel,Lord Murugan,Indian
Sunil kumar pal,Sunil Kumar Pal,Indian
Sunny,Please advise us the meaning of this name.,Indian
Supratik,Cupid,Indian
Supratim,Beautiful image,Indian
Suraj aaradhana,Divyansh,Indian
Surajit,God,Indian
Suratgar,Please advise us the meaning of this name.,Indian
Surdeep,Lamp of music,Indian
Suren,Lord Indra,Indian
Surjan Singh,Happy raksha Bandhan,Indian
Surjeet,Please give me my name means,Indian
Suryabhan,The sun,Indian
Suryakant,Loved by the sun,Indian
Suryakanta,A jewel,Indian
Suryashankar,Lord Shiva,Indian
Sushanta,Quiet,Indian
Sushrut,Well- heard,Indian
Sushruta,Son of sage Viswamitra,Indian
Sutejas,Very bight,Indian
Sutin,Please advise us the meaning of this name.,Indian
Suvimal,Pure,Indian
Suvrata,Strict in religious vows (Subrata),Indian
Swadhin,"Dependent on the self, Independent and free",Indian
Swagesh,Please advise us the meaning of this name!,Indian
Swaminath,The Lord Almighty,Indian
Swaraj,Freedom,Indian
Swarup,Truth,Indian
Swayanth,Swayanth,Indian
Swetaketu,An ancient sage,Indian
Syamantak,A jewel of Lord Vishnu,Indian
Tahir,Holy,Indian
Taizeen,Encouragement,Indian
Taj,Crown worn often by king or emperor.,Indian
Tajdar,Corwned,Indian
Talash,Lovelly,Indian
Talat,Prayer,Indian
Talib,Divine,Indian
Talleen,Absorbed,Indian
Tamal,A tree with very dark bark,Indian
Tamim,Please advise us the meaning of this name.,Indian
Tamin,Please advise us the meaning of this name.,Indian
Tamkinat,Pomp,Indian
Tamonash,Destroyer of ignorance,Indian
Tanay,Son,Indian
Tani,Please advise us the meaning of this name.,Indian
Tanisk,Tanisk,Indian
Tanmay,Engrossed,Indian
Tanveer,Englightened,Indian
Tapasendra,Lord Shiva,Indian
Tapasranjan,Lord Vishnu,Indian
Tapomay,Full of moral virtue,Indian
Tarachand,Star,Indian
Tarakeshwar,Lord Shiva,Indian
Taraknath,Lord Shiva,Indian
Taranga,Wave,Indian
Taraprashad,Star,Indian
Tarik,One who crosses the river of life,Indian
Tariq,Morning star,Indian
Tarit,Lightning,Indian
Tarpan,Refreshing,Indian
Taruntapan,Morning sun,Indian
Taskin,Taskin ke maaine,Indian
Tathagata,The Buddha,Indian
Tausiq,Reinforcement,Indian
Taver,Please advise us the meaning of this name.,Indian
Teeja,Teeja,Indian
Teerth,"Holy place, sacred water",Indian
Teerthankar,A Jain saint,Indian
Tejendra,Please advise us the meaning of this name!,Indian
Tejeshwar,The sun,Indian
Tejomay,Glorious,Indian
Tejvansh,Please advise us the meaning of this name.,Indian
Tejveer,Please advise us the meaning of this name.,Indian
Tejwant,I want to know the meaning of these names?,Indian
Thangabalu,Golden,Indian
Thangadurai,Golden king,Indian
Thangamani,Golden gen,Indian
Thangarajan,Golden king,Indian
Thangasami,Golden lord,Indian
Thangavel,"Lord Murugan, God",Indian
Thayanban,Devoted to ones mother,Indian
Theeran,Brave,Indian
Thenappan,Kind,Indian
Thevan,Godly,Indian
Thinakaran,"Brilliant like the sun, intelligent",Indian
Thirugnanam,"Wise, knowledgeable, attained realization",Indian
Thirumal,Lord Venkateshwara,Indian
Thirumalai,"Abode of Lord Venkateshwara, holy place",Indian
Thirumani,Precious gem,Indian
Thiruvalluvar,"Author of Tamil classic, Thirukural",Indian
Thooyavan,"Pure, flawless",Indian
Timin,Large fish,Indian
Timir,Darkness,Indian
Timirbaran,Dark,Indian
Tinkesh,Please advise us the meaning of this name.,Indian
Tinku,Tinku,Indian
Titir,A bird,Indian
Tivenjhu,Tivenjhu,Indian
Topesh,Please advise us the meaning of this name.,Indian
Toran,A decorative welcome note on the gateway,Indian
Trailokva,The three worlds,Indian
Trambak,Lord Shiva,Indian
Tridib,Heaven,Indian
Trigun,The three dimensions,Indian
Trilokesh,Lord Shiva,Indian
Tripurari,Lord Shiva,Indian
Trishank,King of sun dynasty,Indian
Trishant,Please advise us the meaning of this name.,Indian
Trishul,Shiva's weapon,Indian
Trivikram,Lord Vishnu,Indian
Ttt ludhiana,Nice,Indian
Tuhin,Snow,Indian
Tuhinsurra,White as snow,Indian
Tukaram,A poet saint,Indian
Tula,"Balance scale, zodiac sign Libra",Indian
Tulasidas,Servant of Tulasi (basil plant),Indian
Tulsidas,A famous saint,Indian
Tungar,"High, lofty",Indian
Tungesh,Moon,Indian
Turanyu,Swift,Indian
Tushal,Tushal,Indian
Tusharkanti,Lord Shiva,Indian
Tusharsuvra,White as snow,Indian
Tyagraja,A famous poet,Indian
Typing,Hopgyyiii,Indian
Uday,To rise,Indian
Udayachal,Eastern horizon,Indian
Udayan,Rising; name of king of Avanti,Indian
Udayasooriyan,Rising sun,Indian
Uddhar,Liberation,Indian
Udeep,Flood,Indian
Udyam,Effort,Indian
Udyan,Garden,Indian
Ujagar,Bright,Indian
Ujala,Bright,Indian
Ujbeer,Please advise us the meaning of this name.,Indian
Ulagan,Wordly,Indian
Ulagappan,Creator of the world,Indian
Ulhas,"Joy, delight",Indian
Umanand,Lord Shiva,Indian
Umanant,Umakant Lord Shiva,Indian
Umang,Enthusiasm,Indian
Umaprasad,Blessing of Goddess Parvati,Indian
Umashankar,Lord Shiva,Indian
Umed,Hope,Indian
Unmaivilambi,Honest,Indian
Unmesh,"Flash, blowing, opening",Indian
Upagupta,Name of a Buddhist monk,Indian
Upamanyu,Name of a devoted pupil,Indian
Upkar,"One who is kind, helpful, and favourable to other.",Indian
Urjita,Energized,Indian
Urveel,Please advise us the meaning of this name!,Indian
Urvile,Please advise us the meaning of this name.,Indian
Ushakanta,The sun,Indian
Utanka,A disciple of sage Veda,Indian
Utkarsha,Advancement,Indian
Uttal,"Strong, formidable",Indian
Uttiya,A name in Buddhist literature,Indian
Uzair,Please advise us the meaning of this name!,Indian
Vaansh,Someone who grows your family,Indian
Vachan,Speech,Indian
Vachaspati,Lord of speech,Indian
Vadagam,Please advise us the meaning of this name.,Indian
Vahin,Please advise us the meaning of this name.,Indian
Vaijnath,Lord Shiva,Indian
Vaikunth,"Vaikuntam, the abode of Lord Vishnu",Indian
Vaishankh,Hii I want to know vaishankh meaning,Indian
Vajradhar,Lord Indra,Indian
Vajramani,Diamond,Indian
Vajrapani,Lord Indra,Indian
Valavan,Skillful,Indian
Vallabh,"Beloved, dear",Indian
Valmiki,Valmik the author of the epic Ramayana,Indian
Vaman,Fifth incarnation of Lord Vishnu,Indian
Vanajit,Lord of the forest,Indian
Vandan,Salutation,Indian
Vaninath,Husband of Saraswati,Indian
Vansh,Vansh,Indian
Vardhaman,Lord Mahavir,Indian
Varij,Lotus,Indian
Varindra,Lord of the ocean,Indian
Varun,Lord of the waters; Neptune,Indian
Vasant,VasanSpring (season),Indian
Vasistha,Name of a sage,Indian
Vasu,Wealth,Indian
Vasudev,"Krishna's father, god of wealth",Indian
Vasuman,Born of fire,Indian
Vatsal,Affectionate,Indian
Vedanga,Meaning of Vedas,Indian
Vedant,Ganesha - Son of Shiv Lord,Indian
Vedavrata,Vow of the Vedas,Indian
Vedmohan,Lord Krishna,Indian
Vedprakash,Light of the Vedas,Indian
Veer,Brave,Indian
Veera,The brave,Indian
Veerain,Male,Indian
Veerendra,Veerendra,Indian
Velan,Another name for Lord Murugan,Indian
Vendan,King,Indian
Vengai,Brave,Indian
Veni,Lord Krishna,Indian
Venimadhav,Lord Krishna,Indian
Vetrival,Successful,Indian
Viaan,Please advise us the meaning of this name.,Indian
Vibhas,Decoration; light,Indian
Vibhat,Dawn,Indian
Vibhishan,A character from the epic Ramayana,Indian
Vibhu,All-pervading,Indian
Vicky,Please advise us the meaning of this name.,Indian
Vidur,Wise,Indian
Vidyacharan,Learned,Indian
Vidyadhar,Demi god,Indian
Vidyaranya,Forest of knowledge,Indian
Vidyasagar,Ocean of learning,Indian
Vighnesh,Vignesh Lord Ganesh,Indian
Vihanga,Bird,Indian
Vijay,Victory,Indian
Vijendra,Vijanyendra victorious,Indian
Vikas,"Development, expanding",Indian
Vikasarita,Please advise us the meaning of this name.,Indian
Vikesh,The moon,Indian
Vikram,The sun of valour,Indian
Vikramaditya,A famous king,Indian
Vikramajit,A famous king,Indian
Vikramendra,King of prowess,Indian
Vikrant,Powerful,Indian
Vikranta,Brave,Indian
Vilas,Play,Indian
Vilok,To see,Indian
Vilokan,Gaze,Indian
Vimal,Pure,Indian
Vimoksh,Please advise us the meaning of this name.,Indian
Vinay,Good manners,Indian
Vinayak,Lord Ganesh,Indian
Vineet,Unassuming,Indian
Vinesh,Godly,Indian
Vinod,"Happy, full of joy",Indian
Vinu,Please advise us the meaning of this name.,Indian
Vipan,"Sail, petty trade",Indian
Vipanyu,Please advise us the meaning of this name.,Indian
Vipin,Forest,Indian
Viplab,Floating; revolution,Indian
Viplav,"Drifting about, revolution",Indian
Vipra,A priest,Indian
Vipul,Plenty,Indian
Vir,Brave,Indian
Viraj,"Resplendent, splendour",Indian
Viral,Priceless,Indian
Virat,"Very big, giant proportioned",Indian
Virendra,Brave lord,Indian
Viresh,Brave lord,Indian
Virochan,"Moon, fire",Indian
Vishal,"Huge, broad, great",Indian
Vishesh,Special,Indian
Vishnu,"Lord Vishnu, root, to pervade",Indian
Vishram,Rest,Indian
Vishva,"Earth, universe",Indian
Vishvajit,One who conquers the universe,Indian
Vishvakarma,Architect of the universe,Indian
Vishvatma,Universal soul,Indian
Vishwambhar,The lord,Indian
Vishwamitra,Friend of the universe,Indian
Vishwanath,The lord,Indian
Vishwas,"Faith, trust",Indian
Vishwesh,The lord Almighty,Indian
Vismay,Surprise,Indian
Viswanath,God of universe,Indian
Viswas,Trust,Indian
Vithala,Vitthal Lord Vishnu,Indian
Vivaan,"Lord Krishna, Full of life, Rays of the morning Sun",Indian
Vivek,Judgement; Wisdom,Indian
Vivekananda,Joy of discrimination,Indian
Viyum,Please advise us the meaning of this name.,Indian
Vrajakishore,Lord Krishna,Indian
Vrajamohan,Lord Kirshna,Indian
Vrajanadan,Lord Krishna,Indian
Vrajesh,Lord Krishna,Indian
Vrihaan,Please advise us the meaning of this name.,Indian
Vrishin,Peacock,Indian
Vrundesh,Please advise us the meaning of this name.,Indian
Vyasa,The author of Mahabharata,Indian
Vyomesh,Lord of the sky,Indian
Wadee,Calm,Indian
Wajeeh,Noble,Indian
Wali,Protector,Indian
Waman,Short,Indian
Waqaar,Dignity,Indian
Wasan,Idol,Indian
Yadav,Lord Krishna; Descedent of Yadu,Indian
Yadavendra,Lord Krishna,Indian
Yadunandan,Lord Krishna,Indian
Yaduraj,Lord Krishna,Indian
Yaduvir,Lord Krishna,Indian
Yagna,Ceremonial rites to God,Indian
Yahyaa,Prophet's name,Indian
Yajat,Lord Shiva,Indian
Yajnadhar,Lord Vishnu,Indian
Yajnarup,Lord Krishna,Indian
Yajnesh,Lord Vishnu,Indian
Yamajith,Another name for Shiva,Indian
Yanchit,Please advise us the meaning of this name.,Indian
Yashodhan,Rich in fame,Indian
Yashodhara,One who has achieved fame,Indian
Yashpal,Protector of fame,Indian
Yashwant,One who has achieved glory,Indian
Yatharth,Please advise us the meaning of this name.,Indian
Yatin,Ascetic,Indian
Yayin,Lord Shiva,Indian
Yoganand,Delighted with meditation,Indian
Yogeshwar,Lord Krishna; Lord Shiva,Indian
Yogxit,Please advise us the meaning of this name.,Indian
Yudhajit,Victor in war,Indian
Yudhisthir,Firm in battle,Indian
Yugam,Please advise us the meaning of this name.,Indian
Yugma,"Twins, zodiac sign of Gemini",Indian
Yukta,"Attentive, skillful",Indian
Yuvin,Its Boy name,Indian
Yuvmanyu,Please advise us the meaning of this name.,Indian
Yuvraj,Prince,Indian
Yuyutsu,Eager to fight,Indian
Zafar,Please advise us the meaning of this name!,Indian
Zaman,Please advise us the meaning of this name.,Indian
Zikrul,Please advise us the meaning of this name.,Indian
Zishan,Please advise us the meaning of this name.,Indian
Ziyan,"Elegance, Beauty, decoration, ornament, From Zeenat",Indian
Zoya,Please advise us the meaning of this name.,Indian
Zuber,Please advise us the meaning of this name.,Indian
Zubiya,Please advise us the meaning of this name.,Indian
